I_Cu [A];deltaN_Cu;N_Cu;I_Fe [A];deltaN_Fe;N_Fe;I_Ni [A];deltaN_Ni;N_Ni;I_Ni [A];deltaN_Ni;N_Ni;sigma_I [A]
0,15;0;0;0,15;0;0;-3,42;0;0;3,41;0;0;0,01
0,65;0;0;0,32;0,333333333;0,333333333;-3,29;0,25;0,25;2,66;0,333333333;0,333333333;
1,15;0;0;0,42;0,333333333;0,666666667;-2,93;0,25;0,5;2,02;0,333333333;0,666666667;
1,65;0;0;0,54;0,333333333;1;-2,67;0,25;0,75;1,7;0,333333333;1;
2,15;0;0;0,66;0,333333333;1,333333333;-2,3;0,25;1;1,53;0,333333333;1,333333333;
2,65;0;0;0,8;0,333333333;1,666666667;-2,14;0,25;1,25;1,3;0,333333333;1,666666667;
3,15;0;0;1,74;-0,333333333;1,333333333;-1,94;0,25;1,5;1,16;0,333333333;2;
;;;2,76;-0,333333333;1;-1,8;0,25;1,75;1,03;0,333333333;2,333333333;
;;;3,23;-0,333333333;0,666666667;-1,69;0,25;2;0,94;0,333333333;2,666666667;
;;;;;;-1,62;0,25;2,25;0,84;0,333333333;3;
;;;;;;-1,51;0,25;2,5;0,78;0,333333333;3,333333333;
;;;;;;-1,46;0,25;2,75;0,7;0,333333333;3,666666667;
;;;;;;-1,39;0,25;3;0,63;0,333333333;4;
;;;;;;-1,32;0,25;3,25;0,57;0,333333333;4,333333333;
;;;;;;-1,25;0,25;3,5;0,53;0,333333333;4,666666667;
;;;;;;-1,19;0,25;3,75;0,48;0,333333333;5;
;;;;;;-1,13;0,25;4;0,45;0,333333333;5,333333333;
;;;;;;-1,1;0,25;4,25;0,43;0,333333333;5,666666667;
;;;;;;-1,07;0,25;4,5;0,4;0,333333333;6;
;;;;;;-1,04;0,25;4,75;0,38;0,333333333;6,333333333;
;;;;;;-0,99;0,25;5;0,36;0,333333333;6,666666667;
;;;;;;-0,95;0,25;5,25;0,34;0,333333333;7;
;;;;;;-0,9;0,25;5,5;0,33;0,333333333;7,333333333;
;;;;;;-0,86;0,25;5,75;0,31;0,333333333;7,666666667;
;;;;;;-0,81;0,25;6;0,29;0,333333333;8;
;;;;;;-0,78;0,25;6,25;0,28;0,333333333;8,333333333;
;;;;;;-0,74;0,25;6,5;0,26;0,333333333;8,666666667;
;;;;;;-0,7;0,25;6,75;0,24;0,333333333;9;
;;;;;;-0,67;0,25;7;0,22;0,333333333;9,333333333;
;;;;;;-0,66;0,25;7,25;0,21;0,333333333;9,666666667;
;;;;;;-0,63;0,25;7,5;0,19;0,333333333;10;
;;;;;;-0,61;0,25;7,75;0,16;0,333333333;10,33333333;
;;;;;;-0,57;0,25;8;;;;
;;;;;;-0,55;0,25;8,25;;;;
;;;;;;-0,53;0,25;8,5;;;;
;;;;;;-0,5;0,25;8,75;;;;
;;;;;;-0,47;0,25;9;;;;
;;;;;;-0,44;0,25;9,25;;;;
;;;;;;-0,42;0,25;9,5;;;;
;;;;;;-0,4;0,25;9,75;;;;
;;;;;;-0,39;0,25;10;;;;
;;;;;;-0,38;0,25;10,25;;;;
;;;;;;-0,35;0,25;10,5;;;;
;;;;;;-0,33;0,25;10,75;;;;
;;;;;;-0,3;0,25;11;;;;
;;;;;;-0,28;0,25;11,25;;;;
;;;;;;-0,27;0,25;11,5;;;;
;;;;;;-0,26;0,25;11,75;;;;
;;;;;;-0,25;0,25;12;;;;
;;;;;;-0,24;0,25;12,25;;;;
;;;;;;-0,23;0,25;12,5;;;;
;;;;;;-0,2;0,25;12,75;;;;
;;;;;;0,2;-0,25;12,5;;;;
;;;;;;0,21;-0,25;12,25;;;;
;;;;;;0,23;-0,25;12;;;;
;;;;;;0,24;-0,25;11,75;;;;
;;;;;;0,25;-0,25;11,5;;;;
;;;;;;0,26;-0,25;11,25;;;;
;;;;;;0,28;-0,25;11;;;;
;;;;;;0,3;-0,25;10,75;;;;
;;;;;;0,32;-0,25;10,5;;;;
;;;;;;0,35;-0,25;10,25;;;;
;;;;;;0,37;-0,25;10;;;;
;;;;;;0,38;-0,25;9,75;;;;
;;;;;;0,4;-0,25;9,5;;;;
;;;;;;0,43;-0,25;9,25;;;;
;;;;;;0,46;-0,25;9;;;;
;;;;;;0,49;-0,25;8,75;;;;
;;;;;;0,51;-0,25;8,5;;;;
;;;;;;0,53;-0,25;8,25;;;;
;;;;;;0,56;-0,25;8;;;;
;;;;;;0,6;-0,25;7,75;;;;
;;;;;;0,65;-0,25;7,5;;;;
;;;;;;0,68;-0,25;7,25;;;;
;;;;;;0,74;-0,25;7;;;;
;;;;;;0,8;-0,25;6,75;;;;
;;;;;;0,84;-0,25;6,5;;;;
;;;;;;0,9;-0,25;6,25;;;;
;;;;;;0,95;-0,25;6;;;;
;;;;;;1,01;-0,25;5,75;;;;
;;;;;;1,09;-0,25;5,5;;;;
;;;;;;1,2;-0,25;5,25;;;;
;;;;;;1,31;-0,25;5;;;;
;;;;;;1,43;-0,25;4,75;;;;
;;;;;;1,52;-0,25;4,5;;;;
;;;;;;1,74;-0,25;4,25;;;;
;;;;;;1,8;-0,25;4;;;;
;;;;;;2,04;-0,25;3,75;;;;
;;;;;;2,21;-0,25;3,5;;;;
;;;;;;2,5;-0,25;3,25;;;;
;;;;;;2,89;-0,25;3;;;;
;;;;;;3,28;-0,25;2,75;;;;
