Cu_I [A];Cu_N;Fe_I [A];Fe_N;Ni_I [A];Ni_N;Ni_I [A];Ni_N;sigma I [A]
0,15;0;0,15;0;-3,42;0;3,41;0;0,01
0,65;0;0,32;0,333333333;-3,29;0,25;2,66;0,333333333;
1,15;0;0,42;0,333333333;-2,93;0,25;2,02;0,333333333;
1,65;0;0,54;0,333333333;-2,67;0,25;1,7;0,333333333;
2,15;0;0,66;0,333333333;-2,3;0,25;1,53;0,333333333;
2,65;0;0,8;0,333333333;-2,14;0,25;1,3;0,333333333;
3,15;0;1,74;-0,333333333;-1,94;0,25;1,16;0,333333333;
;;2,76;-0,333333333;-1,8;0,25;1,03;0,333333333;
;;3,23;-0,333333333;-1,69;0,25;0,94;0,333333333;
;;;;-1,62;0,25;0,84;0,333333333;
;;;;-1,51;0,25;0,78;0,333333333;
;;;;-1,46;0,25;0,7;0,333333333;
;;;;-1,39;0,25;0,63;0,333333333;
;;;;-1,32;0,25;0,57;0,333333333;
;;;;-1,25;0,25;0,53;0,333333333;
;;;;-1,19;0,25;0,48;0,333333333;
;;;;-1,13;0,25;0,45;0,333333333;
;;;;-1,1;0,25;0,43;0,333333333;
;;;;-1,07;0,25;0,4;0,333333333;
;;;;-1,04;0,25;0,38;0,333333333;
;;;;-0,99;0,25;0,36;0,333333333;
;;;;-0,95;0,25;0,34;0,333333333;
;;;;-0,9;0,25;0,33;0,333333333;
;;;;-0,86;0,25;0,31;0,333333333;
;;;;-0,81;0,25;0,29;0,333333333;
;;;;-0,78;0,25;0,28;0,333333333;
;;;;-0,74;0,25;0,26;0,333333333;
;;;;-0,7;0,25;0,24;0,333333333;
;;;;-0,67;0,25;0,22;0,333333333;
;;;;-0,66;0,25;0,21;0,333333333;
;;;;-0,63;0,25;0,19;0,333333333;
;;;;-0,61;0,25;0,16;0,333333333;
;;;;-0,57;0,25;;;
;;;;-0,55;0,25;;;
;;;;-0,53;0,25;;;
;;;;-0,5;0,25;;;
;;;;-0,47;0,25;;;
;;;;-0,44;0,25;;;
;;;;-0,42;0,25;;;
;;;;-0,4;0,25;;;
;;;;-0,39;0,25;;;
;;;;-0,38;0,25;;;
;;;;-0,35;0,25;;;
;;;;-0,33;0,25;;;
;;;;-0,3;0,25;;;
;;;;-0,28;0,25;;;
;;;;-0,27;0,25;;;
;;;;-0,26;0,25;;;
;;;;-0,25;0,25;;;
;;;;-0,24;0,25;;;
;;;;-0,23;0,25;;;
;;;;-0,2;0,25;;;
;;;;0,2;-0,25;;;
;;;;0,21;-0,25;;;
;;;;0,23;-0,25;;;
;;;;0,24;-0,25;;;
;;;;0,25;-0,25;;;
;;;;0,26;-0,25;;;
;;;;0,28;-0,25;;;
;;;;0,3;-0,25;;;
;;;;0,32;-0,25;;;
;;;;0,35;-0,25;;;
;;;;0,37;-0,25;;;
;;;;0,38;-0,25;;;
;;;;0,4;-0,25;;;
;;;;0,43;-0,25;;;
;;;;0,46;-0,25;;;
;;;;0,49;-0,25;;;
;;;;0,51;-0,25;;;
;;;;0,53;-0,25;;;
;;;;0,56;-0,25;;;
;;;;0,6;-0,25;;;
;;;;0,65;-0,25;;;
;;;;0,68;-0,25;;;
;;;;0,74;-0,25;;;
;;;;0,8;-0,25;;;
;;;;0,84;-0,25;;;
;;;;0,9;-0,25;;;
;;;;0,95;-0,25;;;
;;;;1,01;-0,25;;;
;;;;1,09;-0,25;;;
;;;;1,2;-0,25;;;
;;;;1,31;-0,25;;;
;;;;1,43;-0,25;;;
;;;;1,52;-0,25;;;
;;;;1,74;-0,25;;;
;;;;1,8;-0,25;;;
;;;;2,04;-0,25;;;
;;;;2,21;-0,25;;;
;;;;2,5;-0,25;;;
;;;;2,89;-0,25;;;
;;;;3,28;-0,25;;;
